id,name,abbreviation,short_name
1,Atlantic 10 Conference,A-10,A-10
2,Atlantic Coast Conference,ACC,ACC
3,ASUN Conference,ASUN,ASUN
4,America East Conference,Am. East,Am. East
5,American Athletic Conference,American,American
6,Big 12 Conference,Big 12,Big 12
7,Big East Conference,Big East,Big East
8,Big Sky Conference,Big Sky,Big Sky
9,Big South Conference,Big South,Big South
10,Big Ten Conference,Big Ten,Big Ten
11,Big West Conference,Big West,Big West
12,Coastal Athletic Association,CAA,CAA
13,Conference USA,CUSA,CUSA
14,Horizon League,Horizon,Horizon
15,Ivy League,Ivy,Ivy
16,Metro Atlantic Athletic Conference,MAAC,MAAC
17,Mid-American Conference,MAC,MAC
18,Mid-Eastern Athletic Conference,MEAC,MEAC
19,Missouri Valley Conference,MVC,MVC
20,Mountain West Conference,Mountain West,Mountain West
21,Northeast Conference,NEC,NEC
22,Ohio Valley Conference,OVC,OVC
23,Patriot League,Patriot,Patriot
24,Southeastern Conference,SEC,SEC
25,Southwestern Athletic Conference,SWAC,SWAC
26,Southern Conference,SoCon,SoCon
27,Southland Conference,Southland,Southland
28,Summit League,Summit,Summit
29,Sun Belt Conference,Sun Belt,Sun Belt
30,Western Athletic Conference,WAC,WAC
31,West Coast Conference,WCC,WCC
32,Division I Independents,Indep.,Indep.
33,Pac-12 Conference,Pac-12,Pac-12
34,Great West,Great West,Great West
